package_path	private_sha256	published_sha256	reason
armi_cross_configuration/REPORT.md	267d06d8e3e00c81a3b04eee56eb241a3b4956784d6d0fc100fa8eb7bedf4e27	3bcd7cdd9387a44f98f208b6a8ca36d1133e00acf467f1b486c4c6d630ba2462	published copy of the desk report: alias rule, path locators, operational sentences replaced (REDACTION.md)
armi_cross_configuration/kit/download.sh	c242e9316f8296d41a38070737e45fe00856b090fa404bb36f4fae91f6adb9ff	3e00c777e84ad14fd504ab2596305f38c72199c0d9cb4542a5c6527877a70407	adapted to the published layout (REPRODUCE.md): path assignments only; alias rule and path redaction (REDACTION.md)
armi_cross_configuration/kit/make_figures.py	e6c02e054bb0f503b51e0b2d03e341fa87c01a3b9c71c93af15f805bfeb70368	6c38993d993b1145b02e2b4e768a7f4862b5dc88abc446d63289d45080b30bb7	alias rule and path redaction (REDACTION.md)
armi_cross_configuration/kit/motion_split.py	a6935f46abea5d4b9de25f9ba274ffce558e79ac202288a65fb046baa0f99680	228bef13f6e1b12045b01ef2664fe8900fcf6e800aa7546112488a082d6123ba	adapted to the published layout (REPRODUCE.md): path assignments only; alias rule and path redaction (REDACTION.md)
armi_cross_configuration/kit/perlin_bins.py	2ec481a2e78b19593a58112a31bd9a935d279a3ba184429b16bd142186834eef	69d18bca949850a54e613f254bd3d39ca8281c6fd62c48e0acad2a8524a56b33	adapted to the published layout (REPRODUCE.md): path assignments only; alias rule and path redaction (REDACTION.md)
armi_cross_configuration/kit/run_arms.sh	d648d066918a128a104fb7a573553137b4b25cbc5f8b99dc5390f67982a9e0ae	4ea4f228889bfec966dcaa41aced20cbf30e9800da7ff47bf601fc51a236c847	adapted to the published layout (REPRODUCE.md): path assignments only; alias rule and path redaction (REDACTION.md)
armi_cross_configuration/kit/run_controls.sh	ff0aa40c15827cdbf92ea9db92c40f7892c186fe86a83bd87d6ee7b52a66ea02	1fe14e40400aa7d67aad9f8a82f224bd5c6d51427a22af599dd97cb76b0e30c6	adapted to the published layout (REPRODUCE.md): path assignments only; alias rule and path redaction (REDACTION.md)
armi_cross_configuration/kit/run_e2023_order_check.sh	8e58517233ba0ff8604e8422ef2ce381b974915ac46bf404de5f9c7d727118bf	43549c199c4ef8d6bc7c5b969160c0e9722dd96f3c19daa49cfec075ccf22f8e	adapted to the published layout (REPRODUCE.md): path assignments only; alias rule and path redaction (REDACTION.md)
armi_cross_configuration/kit/run_fewshot.sh	da920799ce75eb5ff20f7178d210bb115125986e2c4bd108da9f1b30ca75f687	75c6f768ad28c2b0d3240db8dd36a61c29654a2b3df5139985aafe21b733605e	adapted to the published layout (REPRODUCE.md): path assignments only; alias rule and path redaction (REDACTION.md)
armi_cross_configuration/kit/run_followup.sh	17da6daad997872a5c93c963b427911aa67290358920d9f5b98beeb27ffb6651	3191fea6ac738f7091f072ae0cfd42de54ea3411101169ed7701e163a49e7eb7	adapted to the published layout (REPRODUCE.md): path assignments only; alias rule and path redaction (REDACTION.md)
